,objectId,createdAt_x,updatedAt_x,ACL_x,titleOriginal,title,SOCDetailedGroup,ACL_y,code_x,updatedAt_y,definition,jobs,DetailedGroupTitle,createdAt_y,broadGroup,STEMGroups,createdAt,updatedAt,ACL,TitleBroadGroup,code_y,minorGroup,detailedGroups
3133,6AIffN2DTA,Mon Dec 16 2019 13:34:53 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:53 GMT+0700 (Indochina Time),,21 Dealer,Dealer,5RQsCGWn2W,,39-3011,Mon Dec 16 2019 13:35:47 GMT+0700 (Indochina Time),"Operate table games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players, or operating other gambling equipment. Distribute winnings or collect players’ money or chips. May compare the house’s hand against players’ hands.",,Gambling Dealers,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),3N5BwaznsD,,Mon Dec 16 2019 11:47:02 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:30 GMT+0700 (Indochina Time),,Gambling Services Workers,39-3010,CRYvlMkGVE,
1874,nm9OZXtZuY,Mon Dec 16 2019 13:34:36 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:36 GMT+0700 (Indochina Time),,3D Animator,Animator,cAKY8Rqhfw,,27-1014,Mon Dec 16 2019 13:35:43 GMT+0700 (Indochina Time),"Create special effects or animations using film, video, computers, or other electronic tools and media for use in products, such as computer games, movies, music videos, and commercials.",,Special Effects Artists and Animators,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),2CARmz2wLu,,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:24 GMT+0700 (Indochina Time),,Artists and Related Workers,27-1010,yvvVVE9PTt,
1699,U3gEwHxrAL,Mon Dec 16 2019 13:34:34 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:34 GMT+0700 (Indochina Time),,3rd Grade Reading Teacher,Grade Reading Teacher,R6d5DsgZws,,25-2021,Mon Dec 16 2019 13:35:43 GMT+0700 (Indochina Time),"Teach academic and social skills to students at the elementary school level. Excludes “Special Education Teachers” (25-2050) and “Substitute Teachers, Short-Term” (25-3031).",,"Elementary School Teachers, Except Special Education",Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),2aHmvCBaD2,,Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:23 GMT+0700 (Indochina Time),,Elementary and Middle School Teachers,25-2020,cHhHoOkOI3,
1804,43KbOotNO9,Mon Dec 16 2019 13:34:36 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:36 GMT+0700 (Indochina Time),,4 H Youth Development Specialist,Youth Development Specialist,HA21OgiC3W,,25-9021,Mon Dec 16 2019 13:35:43 GMT+0700 (Indochina Time),"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development. Excludes “Dietitians and Nutritionists” (29-1031).",,Farm and Home Management Educators,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),FOT5RDuzC0,,Mon Dec 16 2019 11:46:56 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:24 GMT+0700 (Indochina Time),,Farm and Home Management Educators,25-9020,pcFnIswXJD,
3469,FBYnBcp7CR,Mon Dec 16 2019 13:34:58 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:58 GMT+0700 (Indochina Time),,411 Directory Assistance Operator,Directory Assistance Operator,9bIUEN15JF,,43-2021,Mon Dec 16 2019 13:35:49 GMT+0700 (Indochina Time),"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",,Telephone Operators,Mon Dec 16 2019 11:47:03 GMT+0700 (Indochina Time),A5TH93mVwQ,,Mon Dec 16 2019 11:47:03 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:31 GMT+0700 (Indochina Time),,Telephone Operators,43-2020,9ub8oJhBCj,
1697,6MA2caqYzE,Mon Dec 16 2019 13:34:34 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:34 GMT+0700 (Indochina Time),,4th Grade Math Teacher,Grade Math Teacher,R6d5DsgZws,,25-2021,Mon Dec 16 2019 13:35:43 GMT+0700 (Indochina Time),"Teach academic and social skills to students at the elementary school level. Excludes “Special Education Teachers” (25-2050) and “Substitute Teachers, Short-Term” (25-3031).",,"Elementary School Teachers, Except Special Education",Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),2aHmvCBaD2,,Mon Dec 16 2019 11:46:55 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:23 GMT+0700 (Indochina Time),,Elementary and Middle School Teachers,25-2020,cHhHoOkOI3,
3667,nxlZLABD5g,Mon Dec 16 2019 13:35:00 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:35:00 GMT+0700 (Indochina Time),,911 Dispatcher,Dispatcher,oBzVqRgLoz,,43-5031,Mon Dec 16 2019 13:35:49 GMT+0700 (Indochina Time),"Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures.",,Public Safety Telecommunicators,Mon Dec 16 2019 11:47:04 GMT+0700 (Indochina Time),Bo8qAZre4M,,Mon Dec 16 2019 11:47:04 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:32 GMT+0700 (Indochina Time),,Dispatchers,43-5030,bFH3MPwZTa,
3672,atsjJ1QdGk,Mon Dec 16 2019 13:35:00 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:35:00 GMT+0700 (Indochina Time),,911 Operator,Operator,oBzVqRgLoz,,43-5031,Mon Dec 16 2019 13:35:49 GMT+0700 (Indochina Time),"Operate telephone, radio, or other communication systems to receive and communicate requests for emergency assistance at 9-1-1 public safety answering points and emergency operations centers. Take information from the public and other sources regarding crimes, threats, disturbances, acts of terrorism, fires, medical emergencies, and other public safety matters. May coordinate and provide information to law enforcement and emergency response personnel. May access sensitive databases and other information sources as needed. May provide additional instructions to callers based on knowledge of and certification in law enforcement, fire, or emergency medical procedures.",,Public Safety Telecommunicators,Mon Dec 16 2019 11:47:04 GMT+0700 (Indochina Time),Bo8qAZre4M,,Mon Dec 16 2019 11:47:04 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:32 GMT+0700 (Indochina Time),,Dispatchers,43-5030,bFH3MPwZTa,
4559,IviBLFKL3p,Mon Dec 16 2019 13:35:13 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:35:13 GMT+0700 (Indochina Time),,A&P Mechanic,AandP Mechanic,iSwrOCtC71,,49-3011,Mon Dec 16 2019 13:35:52 GMT+0700 (Indochina Time),"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems. Excludes “Avionics Technicians” (49-2091).",,Aircraft Mechanics and Service Technicians,Mon Dec 16 2019 11:47:08 GMT+0700 (Indochina Time),v8ewev1IAx,,Mon Dec 16 2019 11:47:08 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:36 GMT+0700 (Indochina Time),,Aircraft Mechanics and Service Technicians,49-3010,g9MtBg06Wh,
6019,CoHo5Yscf4,Mon Dec 16 2019 13:35:33 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:35:33 GMT+0700 (Indochina Time),,Aadc Plans Staff Officer,Aadc Plans Staff Officer,FruhONaU4i,,55-1015,Mon Dec 16 2019 13:35:57 GMT+0700 (Indochina Time),"Manage the operation of communications, detection, and weapons systems essential for controlling air, ground, and naval operations. Duties include managing critical communication links between air, naval, and ground forces; formulating and implementing emergency plans for natural and wartime disasters; coordinating emergency response teams and agencies; evaluating command center information and need for high-level military and government reporting; managing the operation of surveillance and detection systems; providing technical information and advice on capabilities and operational readiness; and directing operation of weapons targeting, firing, and launch computer systems.",,Command and Control Center Officers,Mon Dec 16 2019 11:47:14 GMT+0700 (Indochina Time),W0NS3m49Jg,,Mon Dec 16 2019 11:47:14 GMT+0700 (Indochina Time),Tue Dec 17 2019 22:13:20 GMT+0700 (Indochina Time),,Military Officer Special and Tactical Operations Leaders,55-1010,GgvRXklKop,
5758,7iKsEGtFi7,Mon Dec 16 2019 13:35:30 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:35:30 GMT+0700 (Indochina Time),,Able Seaman,Able Seaman,6ZZBunpT3e,,53-5011,Mon Dec 16 2019 13:35:56 GMT+0700 (Indochina Time),"Stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling gear, stationary rigging, and running gear. Perform a variety of maintenance tasks to preserve the painted surface of the ship and to maintain line and ship equipment. Must hold government-issued certification and tankerman certification when working aboard liquid-carrying vessels. Includes able seamen and ordinary seamen.",,Sailors and Marine Oilers,Mon Dec 16 2019 11:47:13 GMT+0700 (Indochina Time),3UEaSjurIf,,Mon Dec 16 2019 11:47:13 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:42 GMT+0700 (Indochina Time),,Sailors and Marine Oilers,53-5010,z5S64JilXn,
686,KLfJ9eRFnp,Mon Dec 16 2019 13:34:20 GMT+0700 (Indochina Time),Mon Dec 16 2019 13:34:20 GMT+0700 (Indochina Time),,Absorption and Adsorption Engineer,Absorption and Adsorption Engineer,HbkuDWgjwd,,17-2041,Mon Dec 16 2019 13:35:40 GMT+0700 (Indochina Time),"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",,Chemical Engineers,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),7Q2gAWthma,,Mon Dec 16 2019 11:46:51 GMT+0700 (Indochina Time),Mon Dec 16 2019 11:47:19 GMT+0700 (Indochina Time),,Chemical Engineers,17-2040,tvxz9DcNmv,
